Comment:	20231003 sppedbump
Time	Vehicle Speed	FL Sprung acceleration	FR Sprung acceleration	RL Sprung acceleration	RR Sprung acceleration	FL Unsprung acceleration	FR Unsprung acceleration	RL Unsprung acceleration	RR Unsprung acceleration	Bellow pressure RL	Bellow pressure RR	Acceleration X	Acceleration Y	Acceleration Z
s	km/h	gn	gn	gn	gn	gn	gn	gn	gn	bar	bar	g	g	g
0.000	38.388	-0.099	-0.161	-0.183	-0.183	1.482	0.586	0.548	1.924	1.861	1.736	0.104	0.125	-0.233
0.000	38.354	-0.095	-0.157	-0.187	-0.166	1.416	0.571	0.660	1.857	1.851	1.738	0.105	0.134	-0.228
0.000	38.376	-0.091	-0.154	-0.194	-0.143	1.431	0.551	0.601	1.991	1.857	1.744	0.110	0.142	-0.228
0.001	38.379	-0.082	-0.150	-0.200	-0.122	1.468	0.522	0.481	2.201	1.853	1.742	0.109	0.154	-0.224
0.001	38.376	-0.074	-0.148	-0.206	-0.092	1.515	0.495	0.395	2.371	1.855	1.736	0.108	0.161	-0.220
0.001	38.388	-0.067	-0.147	-0.213	-0.063	1.540	0.477	0.417	2.368	1.849	1.746	0.109	0.170	-0.222
0.001	38.379	-0.060	-0.144	-0.221	-0.031	1.552	0.474	0.512	2.186	1.850	1.743	0.109	0.178	-0.221
0.001	38.382	-0.057	-0.142	-0.230	-0.002	1.542	0.439	0.640	1.997	1.844	1.742	0.110	0.184	-0.220
0.002	38.382	-0.055	-0.137	-0.237	0.029	1.525	0.385	0.700	1.853	1.854	1.744	0.107	0.193	-0.219
0.002	38.379	-0.053	-0.134	-0.245	0.058	1.486	0.328	0.664	1.791	1.858	1.739	0.103	0.197	-0.219
0.002	38.373	-0.049	-0.131	-0.252	0.085	1.480	0.291	0.538	1.852	1.852	1.742	0.103	0.203	-0.218
0.002	38.382	-0.045	-0.129	-0.256	0.111	1.469	0.275	0.469	1.937	1.852	1.747	0.097	0.206	-0.216
0.002	38.358	-0.034	-0.128	-0.259	0.133	1.472	0.303	0.476	2.019	1.853	1.741	0.091	0.208	-0.214
0.003	38.376	-0.024	-0.129	-0.261	0.151	1.475	0.379	0.602	2.024	1.855	1.740	0.088	0.208	-0.214
0.003	38.367	-0.011	-0.129	-0.259	0.165	1.465	0.411	0.754	1.977	1.862	1.743	0.081	0.207	-0.211
0.003	38.376	0.000	-0.132	-0.256	0.173	1.477	0.390	0.812	1.912	1.856	1.740	0.076	0.206	-0.208
0.003	38.370	0.005	-0.134	-0.248	0.175	1.499	0.330	0.788	1.874	1.857	1.742	0.068	0.204	-0.206
0.003	38.370	0.009	-0.136	-0.238	0.169	1.499	0.225	0.657	1.859	1.850	1.743	0.065	0.201	-0.203
0.004	38.348	0.011	-0.136	-0.224	0.157	1.505	0.197	0.530	1.867	1.853	1.734	0.057	0.196	-0.200
0.004	38.364	0.014	-0.134	-0.212	0.139	1.516	0.173	0.496	1.866	1.849	1.734	0.050	0.191	-0.193
0.004	38.345	0.015	-0.128	-0.198	0.117	1.498	0.231	0.536	1.829	1.845	1.736	0.045	0.185	-0.186
0.004	38.333	0.020	-0.120	-0.183	0.090	1.524	0.326	0.631	1.741	1.849	1.733	0.039	0.177	-0.179
0.004	38.351	0.026	-0.112	-0.168	0.062	1.541	0.389	0.724	1.652	1.848	1.733	0.034	0.170	-0.173
0.005	38.339	0.032	-0.100	-0.155	0.031	1.589	0.429	0.768	1.602	1.845	1.740	0.031	0.163	-0.169
0.005	38.336	0.038	-0.091	-0.141	0.003	1.629	0.420	0.746	1.629	1.844	1.731	0.028	0.153	-0.162
0.005	38.336	0.042	-0.081	-0.129	-0.025	1.628	0.367	0.632	1.771	1.844	1.732	0.024	0.146	-0.158
0.005	38.321	0.045	-0.073	-0.117	-0.049	1.554	0.323	0.509	1.979	1.845	1.740	0.020	0.140	-0.150
0.005	38.315	0.047	-0.066	-0.104	-0.069	1.487	0.289	0.456	2.105	1.850	1.740	0.020	0.132	-0.144
0.006	38.312	0.047	-0.060	-0.093	-0.085	1.442	0.296	0.524	2.157	1.855	1.737	0.020	0.125	-0.140
0.006	38.306	0.052	-0.053	-0.081	-0.097	1.474	0.320	0.708	2.128	1.850	1.730	0.017	0.118	-0.136
0.006	38.312	0.055	-0.048	-0.067	-0.103	1.530	0.348	0.836	1.991	1.848	1.746	0.015	0.110	-0.136
0.006	38.339	0.059	-0.040	-0.055	-0.107	1.585	0.352	0.862	1.910	1.842	1.737	0.018	0.107	-0.135
0.006	38.315	0.065	-0.031	-0.041	-0.108	1.614	0.330	0.801	1.857	1.851	1.736	0.015	0.100	-0.134
0.007	38.309	0.066	-0.023	-0.028	-0.101	1.562	0.296	0.591	1.810	1.844	1.730	0.015	0.098	-0.135
0.007	38.309	0.070	-0.015	-0.015	-0.092	1.483	0.315	0.413	1.773	1.847	1.745	0.016	0.092	-0.136
0.007	38.321	0.074	-0.010	-0.002	-0.080	1.420	0.350	0.349	1.756	1.853	1.738	0.014	0.087	-0.136
0.007	38.312	0.072	-0.006	0.011	-0.066	1.363	0.444	0.405	1.719	1.843	1.734	0.017	0.082	-0.142
