Comment:	20231003 sppedbump
Time	Vehicle Speed	FL Sprung acceleration	FR Sprung acceleration	RL Sprung acceleration	RR Sprung acceleration	FL Unsprung acceleration	FR Unsprung acceleration	RL Unsprung acceleration	RR Unsprung acceleration	Bellow pressure RL	Bellow pressure RR	Acceleration X	Acceleration Y	Acceleration Z
0.007	38.333	0.070	-0.002	0.023	-0.047	1.404	0.535	0.563	1.693	1.845	1.730	0.018	0.079	-0.143
0.008	38.327	0.071	-0.003	0.035	-0.029	1.421	0.565	0.682	1.629	1.853	1.734	0.017	0.075	-0.147
0.008	38.327	0.075	-0.005	0.047	-0.012	1.452	0.550	0.694	1.633	1.844	1.731	0.018	0.071	-0.149
0.008	38.336	0.078	-0.010	0.062	0.007	1.419	0.507	0.671	1.732	1.847	1.733	0.019	0.069	-0.151
0.008	38.321	0.085	-0.016	0.072	0.023	1.344	0.447	0.586	1.854	1.842	1.733	0.020	0.064	-0.154
0.008	38.345	0.089	-0.022	0.082	0.036	1.272	0.447	0.447	1.959	1.843	1.734	0.021	0.063	-0.157
0.009	38.348	0.094	-0.028	0.089	0.047	1.204	0.535	0.384	1.956	1.843	1.734	0.023	0.057	-0.156
0.009	38.351	0.100	-0.032	0.095	0.056	1.238	0.662	0.486	1.906	1.851	1.729	0.023	0.054	-0.158
0.009	38.336	0.100	-0.033	0.099	0.059	1.240	0.784	0.655	1.725	1.834	1.734	0.024	0.053	-0.162
0.009	38.336	0.102	-0.035	0.100	0.061	1.244	0.848	0.865	1.559	1.839	1.729	0.026	0.049	-0.159
0.009	38.336	0.105	-0.033	0.100	0.061	1.214	0.801	0.943	1.524	1.841	1.731	0.028	0.050	-0.160
0.010	38.348	0.105	-0.030	0.097	0.056	1.132	0.690	0.885	1.519	1.845	1.731	0.030	0.047	-0.162
0.010	38.348	0.108	-0.024	0.092	0.049	1.072	0.566	0.755	1.592	1.847	1.734	0.032	0.044	-0.160
0.010	38.336	0.110	-0.022	0.086	0.040	1.028	0.494	0.622	1.704	1.841	1.736	0.035	0.045	-0.161
0.010	38.333	0.116	-0.019	0.079	0.029	1.029	0.532	0.617	1.769	1.843	1.734	0.035	0.045	-0.159
0.010	38.333	0.118	-0.018	0.073	0.014	1.023	0.652	0.704	1.760	1.843	1.731	0.039	0.044	-0.155
0.011	38.342	0.122	-0.018	0.066	0.000	1.031	0.766	0.838	1.741	1.846	1.732	0.042	0.046	-0.158
0.011	38.336	0.122	-0.017	0.058	-0.015	1.005	0.821	0.898	1.698	1.839	1.730	0.043	0.049	-0.156
0.011	38.348	0.124	-0.014	0.049	-0.028	0.962	0.771	0.907	1.719	1.842	1.735	0.046	0.048	-0.154
0.011	38.345	0.124	-0.010	0.040	-0.038	0.920	0.672	0.864	1.726	1.842	1.733	0.053	0.054	-0.152
0.011	38.342	0.128	-0.006	0.030	-0.046	0.904	0.561	0.734	1.642	1.836	1.730	0.053	0.061	-0.149
0.012	38.361	0.126	0.001	0.019	-0.049	0.909	0.535	0.625	1.530	1.845	1.737	0.055	0.065	-0.147
0.012	38.354	0.130	0.007	0.010	-0.050	0.900	0.574	0.655	1.455	1.843	1.734	0.059	0.068	-0.143
0.012	38.342	0.131	0.013	-0.001	-0.044	0.900	0.682	0.849	1.405	1.847	1.736	0.060	0.076	-0.140
0.012	38.361	0.130	0.017	-0.013	-0.036	0.884	0.786	1.050	1.420	1.839	1.737	0.065	0.082	-0.136
0.012	38.367	0.126	0.023	-0.023	-0.020	0.869	0.853	1.148	1.519	1.843	1.738	0.069	0.089	-0.133
0.013	38.358	0.123	0.024	-0.037	-0.004	0.852	0.845	1.078	1.628	1.843	1.737	0.072	0.097	-0.129
0.013	38.361	0.118	0.025	-0.047	0.021	0.853	0.805	0.931	1.702	1.844	1.738	0.076	0.104	-0.123
0.013	38.379	0.117	0.022	-0.057	0.047	0.832	0.741	0.805	1.725	1.839	1.738	0.076	0.113	-0.118
0.013	38.351	0.114	0.018	-0.066	0.076	0.811	0.728	0.703	1.672	1.840	1.733	0.079	0.123	-0.111
0.013	38.339	0.114	0.017	-0.073	0.110	0.831	0.778	0.635	1.611	1.840	1.734	0.080	0.126	-0.107
0.014	38.370	0.113	0.014	-0.080	0.143	0.829	0.850	0.638	1.600	1.832	1.735	0.081	0.137	-0.103
0.014	38.345	0.112	0.012	-0.085	0.175	0.849	0.912	0.676	1.574	1.835	1.737	0.083	0.146	-0.098
0.014	38.342	0.111	0.010	-0.088	0.207	0.881	0.918	0.727	1.604	1.843	1.735	0.084	0.150	-0.092
0.014	38.348	0.106	0.011	-0.089	0.236	0.909	0.880	0.727	1.649	1.837	1.745	0.083	0.157	-0.091
0.014	38.339	0.102	0.011	-0.087	0.261	0.943	0.837	0.669	1.610	1.832	1.740	0.083	0.161	-0.085
0.015	38.339	0.098	0.011	-0.084	0.279	0.983	0.832	0.579	1.557	1.838	1.737	0.082	0.169	-0.079
0.015	38.339	0.093	0.012	-0.078	0.291	0.999	0.864	0.523	1.526	1.836	1.730	0.080	0.175	-0.079
0.015	38.324	0.091	0.012	-0.070	0.296	1.010	0.953	0.587	1.465	1.834	1.732	0.077	0.180	-0.078
0.015	38.342	0.088	0.010	-0.061	0.297	1.007	1.011	0.712	1.480	1.830	1.739	0.076	0.179	-0.077
0.015	38.327	0.086	0.007	-0.049	0.292	1.008	1.051	0.809	1.540	1.831	1.732	0.072	0.184	-0.071
0.016	38.327	0.083	0.005	-0.038	0.279	1.020	1.022	0.800	1.601	1.837	1.733	0.067	0.188	-0.069
0.016	38.309	0.081	0.005	-0.024	0.262	1.056	0.978	0.703	1.662	1.840	1.735	0.066	0.185	-0.069
0.016	38.306	0.077	0.006	-0.013	0.240	1.099	0.918	0.523	1.665	1.834	1.736	0.058	0.186	-0.068
0.016	38.333	0.075	0.011	-0.000	0.215	1.127	0.862	0.407	1.623	1.831	1.736	0.052	0.188	-0.068
0.016	38.333	0.071	0.016	0.011	0.184	1.125	0.858	0.368	1.542	1.834	1.737	0.052	0.185	-0.066
0.017	38.315	0.072	0.023	0.019	0.155	1.128	0.881	0.428	1.465	1.838	1.736	0.043	0.182	-0.063
0.017	38.309	0.067	0.027	0.027	0.124	1.108	0.907	0.583	1.446	1.829	1.737	0.042	0.182	-0.061
0.017	38.309	0.066	0.039	0.031	0.092	1.128	0.916	0.718	1.475	1.833	1.735	0.038	0.174	-0.059
0.017	38.315	0.066	0.043	0.033	0.062	1.196	0.911	0.777	1.540	1.842	1.733	0.031	0.176	-0.056
0.017	38.290	0.063	0.050	0.030	0.033	1.257	0.880	0.696	1.611	1.841	1.737	0.026	0.171	-0.056
0.018	38.290	0.058	0.054	0.026	0.006	1.316	0.859	0.546	1.646	1.848	1.734	0.021	0.170	-0.052
0.018	38.287	0.054	0.059	0.017	-0.017	1.302	0.856	0.401	1.585	1.842	1.734	0.017	0.162	-0.047
0.018	38.297	0.054	0.060	0.004	-0.036	1.259	0.854	0.304	1.482	1.833	1.733	0.012	0.159	-0.046
0.018	38.300	0.052	0.062	-0.010	-0.051	1.166	0.893	0.315	1.401	1.841	1.739	0.008	0.153	-0.041
0.018	38.287	0.055	0.062	-0.029	-0.063	1.114	0.936	0.483	1.330	1.845	1.736	0.004	0.148	-0.040
0.019	38.303	0.056	0.062	-0.046	-0.071	1.083	0.969	0.627	1.338	1.834	1.733	-0.001	0.145	-0.038
0.019	38.297	0.058	0.062	-0.065	-0.075	1.095	0.989	0.688	1.406	1.840	1.731	-0.004	0.139	-0.037
0.019	38.318	0.059	0.060	-0.085	-0.075	1.116	0.999	0.616	1.523	1.844	1.734	-0.005	0.133	-0.035
0.019	38.318	0.061	0.057	-0.103	-0.075	1.111	0.980	0.525	1.610	1.838	1.740	-0.009	0.131	-0.036
0.019	38.300	0.063	0.053	-0.120	-0.070	1.092	0.983	0.423	1.642	1.843	1.735	-0.012	0.124	-0.033
0.020	38.333	0.060	0.046	-0.132	-0.068	1.043	0.974	0.389	1.585	1.840	1.738	-0.013	0.119	-0.030
0.020	38.324	0.059	0.041	-0.144	-0.062	0.968	0.972	0.469	1.524	1.847	1.741	-0.015	0.118	-0.035
0.020	38.321	0.057	0.036	-0.149	-0.056	0.917	0.993	0.591	1.441	1.831	1.734	-0.018	0.113	-0.035
0.020	38.345	0.055	0.030	-0.157	-0.052	0.884	1.039	0.654	1.493	1.844	1.735	-0.018	0.107	-0.036
0.020	38.333	0.053	0.026	-0.158	-0.046	0.854	1.089	0.605	1.565	1.838	1.738	-0.020	0.107	-0.036
0.021	38.339	0.055	0.023	-0.159	-0.042	0.843	1.112	0.416	1.638	1.837	1.738	-0.022	0.104	-0.037
0.021	38.354	0.054	0.018	-0.159	-0.041	0.796	1.112	0.253	1.656	1.846	1.741	-0.022	0.098	-0.039
0.021	38.348	0.058	0.014	-0.154	-0.041	0.757	1.078	0.180	1.607	1.837	1.738	-0.023	0.095	-0.037
0.021	38.351	0.058	0.010	-0.151	-0.044	0.712	1.052	0.177	1.524	1.840	1.743	-0.026	0.091	-0.038
0.021	38.361	0.056	0.003	-0.146	-0.049	0.693	1.047	0.312	1.482	1.845	1.738	-0.024	0.089	-0.038
0.022	38.367	0.049	0.001	-0.143	-0.057	0.701	1.099	0.493	1.523	1.841	1.738	-0.024	0.086	-0.039
0.022	38.373	0.040	-0.005	-0.140	-0.067	0.749	1.147	0.609	1.636	1.835	1.734	-0.022	0.080	-0.036
0.022	38.391	0.031	-0.008	-0.137	-0.078	0.804	1.225	0.553	1.763	1.845	1.736	-0.021	0.080	-0.034
0.022	38.403	0.024	-0.009	-0.134	-0.090	0.793	1.250	0.374	1.872	1.843	1.739	-0.020	0.078	-0.035
0.022	38.400	0.019	-0.010	-0.134	-0.104	0.728	1.289	0.101	1.902	1.842	1.744	-0.019	0.075	-0.031
0.023	38.388	0.016	-0.010	-0.132	-0.117	0.632	1.280	-0.085	1.857	1.848	1.742	-0.018	0.071	-0.029
0.023	38.409	0.016	-0.009	-0.133	-0.131	0.531	1.277	-0.146	1.748	1.841	1.749	-0.017	0.071	-0.028
0.023	38.412	0.015	-0.007	-0.136	-0.143	0.495	1.295	-0.081	1.628	1.849	1.745	-0.013	0.069	-0.027
0.023	38.416	0.014	-0.006	-0.142	-0.155	0.518	1.321	0.047	1.585	1.850	1.748	-0.011	0.066	-0.024
0.023	38.419	0.010	-0.006	-0.150	-0.167	0.570	1.377	0.197	1.626	1.856	1.743	-0.009	0.064	-0.026
0.024	38.409	0.004	-0.006	-0.162	-0.173	0.614	1.399	0.189	1.688	1.855	1.736	-0.008	0.062	-0.024
0.024	38.434	-0.006	-0.006	-0.173	-0.180	0.639	1.399	0.075	1.806	1.841	1.741	-0.003	0.058	-0.022
0.024	38.416	-0.015	-0.010	-0.186	-0.180	0.645	1.362	-0.024	1.868	1.851	1.740	-0.001	0.059	-0.025
0.024	38.419	-0.023	-0.012	-0.198	-0.180	0.640	1.285	-0.088	1.854	1.854	1.743	0.000	0.057	-0.029
0.024	38.428	-0.028	-0.017	-0.208	-0.173	0.580	1.209	-0.051	1.763	1.853	1.743	0.003	0.056	-0.030
0.025	38.419	-0.027	-0.020	-0.220	-0.162	0.537	1.172	0.087	1.721	1.852	1.743	0.003	0.055	-0.034
0.025	38.431	-0.027	-0.025	-0.226	-0.147	0.449	1.153	0.257	1.753	1.848	1.743	0.006	0.050	-0.038
0.025	38.437	-0.028	-0.031	-0.233	-0.128	0.443	1.162	0.395	1.852	1.857	1.744	0.010	0.052	-0.045
0.025	38.443	-0.029	-0.035	-0.237	-0.108	0.481	1.177	0.398	1.964	1.852	1.740	0.010	0.054	-0.050
0.025	38.431	-0.036	-0.038	-0.237	-0.086	0.559	1.184	0.235	2.033	1.854	1.746	0.014	0.049	-0.057
0.026	38.437	-0.041	-0.042	-0.238	-0.062	0.602	1.167	0.051	2.003	1.852	1.740	0.015	0.049	-0.065
0.026	38.443	-0.048	-0.049	-0.236	-0.038	0.623	1.120	-0.122	1.939	1.843	1.743	0.017	0.048	-0.072
0.026	38.440	-0.055	-0.055	-0.234	-0.016	0.619	1.076	-0.141	1.898	1.848	1.742	0.021	0.047	-0.080
0.026	38.437	-0.056	-0.060	-0.228	0.007	0.623	1.047	-0.054	1.889	1.845	1.743	0.018	0.045	-0.084
0.026	38.443	-0.058	-0.069	-0.222	0.027	0.638	1.048	0.069	1.863	1.841	1.747	0.023	0.045	-0.093
0.027	38.467	-0.057	-0.073	-0.210	0.042	0.660	1.057	0.181	1.856	1.852	1.741	0.025	0.041	-0.097
0.027	38.443	-0.053	-0.080	-0.199	0.056	0.693	1.092	0.184	1.850	1.851	1.746	0.024	0.039	-0.100
0.027	38.425	-0.055	-0.085	-0.187	0.067	0.706	1.122	0.062	1.892	1.845	1.742	0.027	0.039	-0.104
0.027	38.431	-0.050	-0.089	-0.173	0.073	0.752	1.095	-0.137	1.916	1.843	1.743	0.027	0.034	-0.105
0.027	38.440	-0.053	-0.093	-0.159	0.075	0.761	1.067	-0.312	1.953	1.842	1.744	0.029	0.033	-0.106
0.028	38.431	-0.053	-0.092	-0.146	0.075	0.773	1.023	-0.341	1.985	1.844	1.741	0.029	0.030	-0.108
0.028	38.425	-0.060	-0.090	-0.134	0.070	0.724	0.992	-0.223	1.985	1.851	1.744	0.029	0.029	-0.109
0.028	38.437	-0.064	-0.087	-0.122	0.064	0.717	0.987	-0.020	1.979	1.845	1.745	0.029	0.025	-0.104
0.028	38.419	-0.066	-0.085	-0.111	0.054	0.735	1.026	0.170	2.007	1.854	1.749	0.030	0.024	-0.107
0.028	38.425	-0.065	-0.083	-0.100	0.043	0.833	1.072	0.198	2.063	1.855	1.753	0.029	0.024	-0.107
0.029	38.422	-0.061	-0.081	-0.092	0.035	0.925	1.118	0.060	2.109	1.841	1.748	0.027	0.021	-0.104
0.029	38.434	-0.058	-0.080	-0.084	0.022	0.975	1.117	-0.084	2.111	1.843	1.745	0.029	0.020	-0.098
0.029	38.409	-0.052	-0.078	-0.078	0.014	0.949	1.092	-0.217	2.082	1.848	1.743	0.030	0.019	-0.099
0.029	38.443	-0.050	-0.076	-0.071	0.006	0.875	1.053	-0.227	1.975	1.838	1.749	0.026	0.019	-0.100
0.029	38.412	-0.050	-0.075	-0.068	-0.001	0.815	1.025	-0.161	1.922	1.839	1.752	0.027	0.018	-0.095
0.030	38.412	-0.049	-0.075	-0.063	-0.005	0.835	0.985	-0.053	1.840	1.840	1.744	0.025	0.019	-0.092
0.030	38.425	-0.054	-0.075	-0.063	-0.006	0.925	0.987	0.016	1.858	1.838	1.750	0.026	0.025	-0.091
0.030	38.409	-0.059	-0.075	-0.061	-0.005	1.045	1.008	-0.009	1.858	1.842	1.745	0.024	0.021	-0.091
0.030	38.416	-0.062	-0.075	-0.059	0.000	1.124	1.051	-0.141	1.893	1.848	1.747	0.024	0.023	-0.087
0.030	38.406	-0.065	-0.076	-0.056	0.007	1.123	1.089	-0.328	1.968	1.842	1.744	0.021	0.023	-0.086
0.031	38.403	-0.063	-0.079	-0.054	0.016	1.064	1.135	-0.470	2.027	1.845	1.752	0.024	0.026	-0.087
0.031	38.416	-0.060	-0.080	-0.051	0.029	0.984	1.140	-0.512	2.054	1.840	1.745	0.024	0.028	-0.087
0.031	38.400	-0.054	-0.085	-0.049	0.042	0.930	1.135	-0.471	2.049	1.833	1.746	0.021	0.030	-0.084
0.031	38.425	-0.048	-0.086	-0.047	0.056	0.912	1.144	-0.371	2.049	1.842	1.745	0.020	0.032	-0.083
0.031	38.419	-0.045	-0.092	-0.044	0.073	0.938	1.160	-0.330	2.041	1.840	1.745	0.021	0.036	-0.083
0.032	38.422	-0.046	-0.096	-0.040	0.086	0.987	1.208	-0.439	2.003	1.840	1.743	0.017	0.035	-0.079
0.032	38.428	-0.049	-0.102	-0.036	0.099	1.018	1.252	-0.608	1.935	1.843	1.746	0.018	0.038	-0.082
0.032	38.422	-0.052	-0.105	-0.033	0.110	1.027	1.286	-0.786	1.891	1.843	1.752	0.017	0.039	-0.083
0.032	38.440	-0.054	-0.111	-0.029	0.121	0.984	1.283	-0.847	1.839	1.839	1.748	0.017	0.039	-0.078
0.032	38.443	-0.056	-0.115	-0.025	0.127	0.943	1.246	-0.725	1.808	1.843	1.757	0.016	0.041	-0.082
0.033	38.452	-0.053	-0.119	-0.021	0.133	0.912	1.202	-0.517	1.868	1.841	1.749	0.014	0.043	-0.082
0.033	38.458	-0.046	-0.126	-0.016	0.135	0.889	1.183	-0.302	1.957	1.844	1.741	0.012	0.043	-0.083
0.033	38.480	-0.037	-0.130	-0.013	0.133	0.859	1.215	-0.234	2.080	1.836	1.750	0.010	0.045	-0.088
0.033	38.470	-0.031	-0.134	-0.007	0.131	0.809	1.276	-0.316	2.197	1.843	1.753	0.008	0.042	-0.085
0.033	38.480	-0.029	-0.139	-0.003	0.122	0.713	1.340	-0.468	2.253	1.840	1.747	0.007	0.040	-0.089
0.034	38.474	-0.034	-0.142	-0.000	0.109	0.606	1.357	-0.615	2.196	1.833	1.752	0.003	0.042	-0.090
0.034	38.489	-0.044	-0.143	0.007	0.098	0.511	1.334	-0.639	2.072	1.834	1.756	0.003	0.041	-0.091
0.034	38.489	-0.056	-0.144	0.010	0.081	0.477	1.257	-0.561	1.960	1.833	1.749	0.000	0.041	-0.093
0.034	38.531	-0.066	-0.145	0.009	0.064	0.548	1.216	-0.424	1.851	1.836	1.748	-0.006	0.040	-0.100
0.034	38.495	-0.071	-0.148	0.007	0.044	0.668	1.188	-0.359	1.886	1.834	1.753	-0.003	0.038	-0.103
0.035	38.510	-0.070	-0.148	0.005	0.025	0.791	1.188	-0.428	1.911	1.835	1.746	-0.007	0.038	-0.105
0.035	38.504	-0.065	-0.151	-0.004	0.008	0.850	1.235	-0.630	1.956	1.828	1.746	-0.009	0.041	-0.108
0.035	38.519	-0.059	-0.154	-0.014	-0.007	0.805	1.317	-0.864	1.971	1.835	1.747	-0.013	0.038	-0.109
0.035	38.519	-0.055	-0.153	-0.029	-0.020	0.689	1.409	-0.972	1.901	1.826	1.753	-0.014	0.039	-0.111
0.035	38.522	-0.051	-0.153	-0.042	-0.028	0.584	1.486	-0.893	1.816	1.835	1.755	-0.020	0.041	-0.111
0.036	38.522	-0.054	-0.151	-0.060	-0.032	0.533	1.540	-0.706	1.782	1.834	1.761	-0.018	0.039	-0.116
0.036	38.531	-0.059	-0.149	-0.080	-0.029	0.549	1.535	-0.431	1.784	1.836	1.755	-0.019	0.039	-0.112
0.036	38.535	-0.067	-0.147	-0.101	-0.020	0.605	1.529	-0.232	1.864	1.831	1.756	-0.021	0.040	-0.107
0.036	38.541	-0.067	-0.144	-0.126	-0.007	0.679	1.517	-0.240	1.939	1.832	1.753	-0.024	0.040	-0.109
0.036	38.538	-0.067	-0.141	-0.151	0.013	0.730	1.528	-0.379	2.064	1.826	1.757	-0.027	0.042	-0.108
0.037	38.553	-0.063	-0.140	-0.180	0.036	0.779	1.537	-0.642	2.135	1.831	1.753	-0.028	0.043	-0.102
0.037	38.553	-0.055	-0.139	-0.211	0.063	0.775	1.535	-0.751	2.081	1.827	1.757	-0.028	0.041	-0.101
0.037	38.535	-0.050	-0.140	-0.242	0.093	0.772	1.517	-0.725	1.967	1.830	1.758	-0.031	0.046	-0.099
0.037	38.571	-0.045	-0.139	-0.269	0.122	0.719	1.499	-0.554	1.797	1.836	1.750	-0.030	0.044	-0.094
0.037	38.580	-0.044	-0.142	-0.296	0.153	0.676	1.474	-0.310	1.658	1.830	1.752	-0.033	0.044	-0.092
0.038	38.589	-0.048	-0.143	-0.320	0.179	0.640	1.467	-0.196	1.571	1.840	1.750	-0.037	0.047	-0.091
0.038	38.583	-0.051	-0.145	-0.338	0.204	0.617	1.458	-0.193	1.580	1.838	1.754	-0.039	0.046	-0.088
0.038	38.586	-0.055	-0.147	-0.350	0.223	0.590	1.442	-0.342	1.677	1.826	1.752	-0.041	0.044	-0.085
0.038	38.593	-0.058	-0.151	-0.360	0.239	0.546	1.417	-0.611	1.753	1.832	1.755	-0.044	0.047	-0.086
0.038	38.574	-0.057	-0.154	-0.359	0.246	0.501	1.370	-0.741	1.826	1.836	1.749	-0.049	0.044	-0.083
0.039	38.571	-0.056	-0.160	-0.354	0.248	0.495	1.358	-0.705	1.863	1.832	1.755	-0.050	0.042	-0.083
0.039	38.586	-0.052	-0.168	-0.341	0.242	0.541	1.330	-0.596	1.795	1.833	1.759	-0.057	0.041	-0.083
0.039	38.602	-0.048	-0.173	-0.326	0.231	0.659	1.340	-0.384	1.706	1.837	1.756	-0.060	0.043	-0.085
0.039	38.580	-0.044	-0.178	-0.305	0.210	0.742	1.348	-0.298	1.609	1.831	1.757	-0.064	0.038	-0.084
0.039	38.583	-0.041	-0.181	-0.281	0.189	0.781	1.350	-0.423	1.552	1.834	1.752	-0.066	0.037	-0.085
0.040	38.611	-0.039	-0.186	-0.254	0.160	0.735	1.344	-0.592	1.527	1.830	1.755	-0.073	0.033	-0.086
0.040	38.593	-0.035	-0.185	-0.225	0.127	0.658	1.338	-0.766	1.544	1.833	1.754	-0.074	0.032	-0.088
0.040	38.596	-0.033	-0.185	-0.194	0.094	0.586	1.304	-0.785	1.610	1.841	1.756	-0.075	0.029	-0.092
0.040	38.596	-0.031	-0.181	-0.162	0.059	0.592	1.284	-0.706	1.636	1.832	1.759	-0.082	0.028	-0.095
0.040	38.583	-0.026	-0.180	-0.131	0.026	0.620	1.271	-0.603	1.680	1.810	1.755	-0.085	0.027	-0.097
0.041	38.602	-0.017	-0.174	-0.102	-0.007	0.683	1.240	-0.538	1.704	1.824	1.760	-0.087	0.023	-0.100
0.041	38.593	-0.011	-0.169	-0.075	-0.034	0.720	1.248	-0.517	1.729	1.818	1.767	-0.090	0.023	-0.103
0.041	38.589	-0.004	-0.164	-0.054	-0.059	0.707	1.200	-0.575	1.735	1.824	1.763	-0.093	0.021	-0.103
0.041	38.614	0.002	-0.157	-0.036	-0.083	0.694	1.184	-0.707	1.684	1.822	1.760	-0.094	0.020	-0.106
0.041	38.596	0.004	-0.151	-0.020	-0.100	0.684	1.143	-0.856	1.614	1.829	1.758	-0.097	0.019	-0.110
0.042	38.614	0.007	-0.145	-0.009	-0.114	0.713	1.144	-0.881	1.504	1.825	1.761	-0.098	0.018	-0.113
0.042	38.586	0.009	-0.140	-0.004	-0.121	0.778	1.151	-0.777	1.410	1.829	1.765	-0.100	0.017	-0.115
0.042	38.580	0.012	-0.132	-0.004	-0.126	0.807	1.205	-0.629	1.318	1.831	1.765	-0.102	0.016	-0.121
0.042	38.605	0.016	-0.129	-0.007	-0.127	0.802	1.254	-0.619	1.290	1.824	1.767	-0.104	0.017	-0.121
