Comment:	20231003 sppedbump
Time	Vehicle Speed	FL Sprung acceleration	FR Sprung acceleration	RL Sprung acceleration	RR Sprung acceleration	FL Unsprung acceleration	FR Unsprung acceleration	RL Unsprung acceleration	RR Unsprung acceleration	Bellow pressure RL	Bellow pressure RR	Acceleration X	Acceleration Y	Acceleration Z
0.005	40.646	-0.060	0.116	-0.534	0.072	1.155	-0.376	0.672	1.771	1.850	1.795	-0.046	-0.074	0.039
0.005	40.640	-0.063	0.114	-0.503	0.095	1.216	-0.431	0.762	1.696	1.843	1.793	-0.047	-0.069	0.039
0.006	40.649	-0.065	0.111	-0.468	0.119	1.287	-0.469	0.853	1.674	1.844	1.795	-0.047	-0.062	0.039
0.006	40.665	-0.066	0.107	-0.431	0.136	1.335	-0.428	0.940	1.635	1.852	1.788	-0.049	-0.053	0.039
0.006	40.634	-0.064	0.102	-0.391	0.150	1.354	-0.390	0.989	1.624	1.852	1.786	-0.049	-0.050	0.036
0.006	40.649	-0.060	0.095	-0.349	0.162	1.394	-0.397	0.928	1.621	1.842	1.786	-0.051	-0.042	0.036
0.006	40.665	-0.057	0.088	-0.310	0.166	1.448	-0.428	0.820	1.669	1.845	1.787	-0.053	-0.032	0.031
0.007	40.652	-0.052	0.082	-0.267	0.167	1.579	-0.438	0.755	1.706	1.851	1.789	-0.056	-0.029	0.029
0.007	40.677	-0.049	0.077	-0.227	0.166	1.724	-0.421	0.658	1.689	1.840	1.794	-0.057	-0.021	0.023
0.007	40.649	-0.046	0.077	-0.189	0.155	1.843	-0.360	0.669	1.644	1.840	1.791	-0.061	-0.014	0.017
0.007	40.652	-0.045	0.073	-0.149	0.141	1.891	-0.290	0.756	1.602	1.839	1.784	-0.063	-0.009	0.012
0.007	40.677	-0.044	0.075	-0.118	0.127	1.858	-0.269	0.847	1.598	1.843	1.786	-0.065	-0.004	0.009
0.008	40.701	-0.042	0.075	-0.086	0.107	1.795	-0.302	0.889	1.669	1.840	1.792	-0.066	0.003	0.005
0.008	40.646	-0.037	0.078	-0.057	0.086	1.737	-0.362	0.834	1.763	1.837	1.791	-0.070	0.007	0.001
0.008	40.668	-0.033	0.080	-0.032	0.068	1.717	-0.411	0.787	1.852	1.840	1.792	-0.075	0.013	-0.004
0.008	40.646	-0.027	0.083	-0.011	0.043	1.757	-0.400	0.781	1.888	1.841	1.790	-0.075	0.015	-0.006
0.008	40.665	-0.017	0.087	0.007	0.027	1.845	-0.335	0.821	1.852	1.842	1.782	-0.077	0.021	-0.009
0.009	40.656	-0.014	0.092	0.022	0.008	1.903	-0.250	0.918	1.805	1.836	1.787	-0.079	0.026	-0.016
0.009	40.668	-0.006	0.095	0.033	-0.004	1.945	-0.190	1.037	1.740	1.844	1.787	-0.080	0.027	-0.013
0.009	40.659	-0.006	0.095	0.038	-0.013	1.927	-0.231	1.108	1.681	1.829	1.789	-0.080	0.033	-0.017
0.009	40.662	-0.004	0.098	0.041	-0.015	1.903	-0.349	1.092	1.664	1.841	1.788	-0.081	0.039	-0.018
0.009	40.652	-0.002	0.098	0.042	-0.014	1.874	-0.471	0.990	1.693	1.831	1.784	-0.081	0.043	-0.020
0.010	40.619	0.001	0.097	0.039	-0.003	1.902	-0.555	0.834	1.717	1.846	1.785	-0.080	0.046	-0.019
0.010	40.665	0.003	0.095	0.038	0.010	1.969	-0.549	0.737	1.754	1.835	1.790	-0.080	0.053	-0.021
0.010	40.643	0.009	0.091	0.036	0.026	2.057	-0.452	0.759	1.720	1.844	1.786	-0.080	0.057	-0.021
0.010	40.643	0.013	0.084	0.037	0.044	2.087	-0.338	0.898	1.631	1.849	1.786	-0.079	0.058	-0.019
0.010	40.652	0.018	0.078	0.043	0.068	2.039	-0.254	1.068	1.559	1.840	1.788	-0.077	0.066	-0.017
0.011	40.643	0.022	0.074	0.047	0.091	1.925	-0.256	1.141	1.477	1.838	1.782	-0.080	0.074	-0.015
0.011	40.640	0.024	0.069	0.055	0.118	1.821	-0.316	1.140	1.471	1.837	1.790	-0.080	0.076	-0.013
0.011	40.652	0.026	0.065	0.067	0.146	1.792	-0.371	1.103	1.572	1.826	1.794	-0.079	0.081	-0.013
0.011	40.640	0.029	0.066	0.084	0.176	1.883	-0.377	1.014	1.730	1.840	1.786	-0.079	0.083	-0.010
0.011	40.646	0.033	0.066	0.102	0.203	2.029	-0.332	0.972	1.804	1.840	1.782	-0.080	0.087	-0.008
0.012	40.668	0.037	0.067	0.124	0.227	2.117	-0.267	0.987	1.785	1.836	1.787	-0.080	0.089	-0.007
0.012	40.662	0.043	0.069	0.149	0.252	2.116	-0.202	1.095	1.722	1.827	1.791	-0.082	0.092	-0.002
0.012	40.646	0.049	0.073	0.178	0.271	2.048	-0.204	1.250	1.677	1.836	1.795	-0.082	0.095	0.001
0.012	40.619	0.053	0.077	0.207	0.289	1.940	-0.242	1.307	1.684	1.834	1.797	-0.083	0.097	0.003
0.012	40.652	0.055	0.082	0.238	0.303	1.856	-0.290	1.240	1.767	1.839	1.785	-0.083	0.098	0.003
0.013	40.680	0.058	0.086	0.269	0.313	1.825	-0.300	1.163	1.905	1.827	1.788	-0.084	0.100	0.007
0.013	40.646	0.061	0.090	0.300	0.321	1.856	-0.256	1.139	1.989	1.832	1.782	-0.081	0.099	0.013
0.013	40.649	0.066	0.093	0.326	0.329	1.891	-0.204	1.160	1.965	1.837	1.783	-0.080	0.098	0.015
0.013	40.665	0.075	0.095	0.347	0.329	1.912	-0.166	1.240	1.857	1.827	1.785	-0.079	0.101	0.021
0.013	40.671	0.085	0.098	0.366	0.332	1.892	-0.177	1.345	1.717	1.834	1.786	-0.077	0.103	0.026
0.014	40.659	0.097	0.102	0.380	0.331	1.833	-0.243	1.414	1.579	1.834	1.789	-0.071	0.097	0.032
0.014	40.659	0.103	0.105	0.391	0.330	1.732	-0.338	1.408	1.568	1.831	1.787	-0.068	0.100	0.040
0.014	40.671	0.112	0.108	0.394	0.330	1.624	-0.399	1.297	1.695	1.831	1.783	-0.066	0.102	0.040
0.014	40.683	0.113	0.110	0.393	0.329	1.537	-0.375	1.172	1.809	1.828	1.790	-0.061	0.097	0.047
0.014	40.671	0.114	0.109	0.387	0.331	1.526	-0.312	1.045	1.880	1.833	1.789	-0.053	0.095	0.053
0.015	40.683	0.113	0.109	0.380	0.333	1.569	-0.219	0.995	1.819	1.835	1.789	-0.049	0.094	0.059
0.015	40.674	0.113	0.106	0.368	0.333	1.639	-0.180	1.042	1.665	1.832	1.787	-0.043	0.093	0.064
0.015	40.692	0.114	0.107	0.355	0.337	1.683	-0.203	1.166	1.467	1.825	1.786	-0.035	0.094	0.068
0.015	40.704	0.119	0.107	0.339	0.336	1.657	-0.284	1.246	1.389	1.827	1.787	-0.029	0.088	0.073
0.015	40.680	0.123	0.110	0.322	0.338	1.599	-0.303	1.249	1.392	1.822	1.786	-0.025	0.085	0.080
0.016	40.701	0.128	0.112	0.301	0.340	1.526	-0.319	1.246	1.519	1.822	1.782	-0.017	0.083	0.079
0.016	40.683	0.131	0.116	0.279	0.339	1.511	-0.271	1.265	1.729	1.832	1.787	-0.012	0.078	0.083
0.016	40.689	0.131	0.122	0.255	0.335	1.523	-0.207	1.274	1.832	1.823	1.785	-0.006	0.075	0.083
0.016	40.692	0.127	0.129	0.230	0.331	1.557	-0.137	1.223	1.866	1.820	1.785	0.001	0.068	0.082
0.016	40.686	0.121	0.137	0.205	0.323	1.568	-0.088	1.226	1.811	1.831	1.785	0.002	0.065	0.084
0.017	40.683	0.114	0.145	0.181	0.312	1.571	-0.063	1.288	1.759	1.819	1.788	0.004	0.060	0.082
0.017	40.692	0.105	0.149	0.156	0.300	1.534	-0.037	1.359	1.754	1.824	1.790	0.007	0.061	0.080
0.017	40.698	0.101	0.154	0.134	0.286	1.532	-0.010	1.421	1.746	1.815	1.789	0.009	0.051	0.078
0.017	40.683	0.098	0.158	0.113	0.267	1.550	0.019	1.511	1.760	1.830	1.789	0.012	0.045	0.077
0.017	40.677	0.099	0.156	0.094	0.247	1.600	0.027	1.565	1.766	1.826	1.785	0.012	0.043	0.079
0.018	40.698	0.097	0.157	0.080	0.220	1.621	0.013	1.575	1.696	1.826	1.783	0.012	0.038	0.073
0.018	40.671	0.098	0.155	0.068	0.189	1.642	-0.035	1.540	1.587	1.829	1.783	0.016	0.034	0.072
0.018	40.659	0.096	0.152	0.056	0.158	1.644	-0.084	1.442	1.505	1.828	1.789	0.010	0.032	0.069
0.018	40.680	0.090	0.151	0.042	0.123	1.602	-0.122	1.395	1.515	1.834	1.786	0.014	0.035	0.067
0.018	40.671	0.086	0.148	0.032	0.087	1.609	-0.062	1.342	1.560	1.833	1.789	0.018	0.029	0.067
0.019	40.674	0.078	0.144	0.024	0.054	1.623	0.037	1.335	1.666	1.817	1.786	0.016	0.031	0.064
0.019	40.701	0.070	0.145	0.015	0.016	1.625	0.184	1.319	1.723	1.827	1.786	0.018	0.032	0.061
0.019	40.668	0.069	0.141	0.008	-0.016	1.707	0.243	1.373	1.763	1.824	1.802	0.018	0.037	0.063
0.019	40.689	0.067	0.138	-0.000	-0.045	1.734	0.231	1.459	1.707	1.834	1.793	0.021	0.040	0.060
0.019	40.695	0.070	0.132	-0.010	-0.068	1.749	0.169	1.557	1.624	1.829	1.795	0.022	0.046	0.058
0.020	40.683	0.078	0.127	-0.018	-0.084	1.698	0.108	1.608	1.592	1.826	1.798	0.023	0.049	0.063
0.020	40.677	0.082	0.121	-0.027	-0.094	1.629	0.105	1.603	1.586	1.833	1.788	0.026	0.055	0.061
0.020	40.704	0.085	0.115	-0.038	-0.097	1.610	0.165	1.590	1.645	1.822	1.792	0.026	0.061	0.060
0.020	40.695	0.085	0.111	-0.043	-0.090	1.628	0.258	1.587	1.730	1.830	1.795	0.028	0.066	0.062
0.020	40.698	0.083	0.108	-0.050	-0.074	1.681	0.340	1.632	1.821	1.835	1.796	0.027	0.073	0.064
0.021	40.695	0.079	0.107	-0.053	-0.054	1.712	0.412	1.658	1.833	1.834	1.796	0.027	0.078	0.060
0.021	40.710	0.079	0.106	-0.057	-0.028	1.738	0.409	1.662	1.772	1.836	1.791	0.028	0.084	0.064
0.021	40.698	0.080	0.109	-0.057	0.006	1.726	0.381	1.661	1.663	1.839	1.793	0.026	0.089	0.065
0.021	40.692	0.083	0.110	-0.054	0.043	1.725	0.365	1.659	1.529	1.837	1.786	0.026	0.091	0.066
0.021	40.686	0.089	0.112	-0.049	0.083	1.757	0.354	1.603	1.491	1.839	1.795	0.022	0.096	0.068
0.022	40.701	0.095	0.114	-0.045	0.123	1.749	0.352	1.535	1.525	1.840	1.794	0.018	0.101	0.070
0.022	40.698	0.099	0.117	-0.038	0.162	1.725	0.376	1.528	1.603	1.839	1.801	0.013	0.100	0.071
0.022	40.686	0.101	0.116	-0.028	0.202	1.672	0.363	1.557	1.697	1.833	1.804	0.009	0.101	0.075
0.022	40.701	0.101	0.117	-0.017	0.240	1.611	0.349	1.591	1.723	1.837	1.787	0.004	0.101	0.080
0.022	40.704	0.100	0.116	-0.007	0.271	1.547	0.335	1.633	1.652	1.836	1.799	-0.002	0.101	0.083
0.023	40.701	0.101	0.113	0.005	0.298	1.504	0.357	1.654	1.532	1.834	1.797	-0.007	0.101	0.086
0.023	40.707	0.105	0.108	0.018	0.318	1.494	0.432	1.672	1.482	1.838	1.797	-0.011	0.099	0.092
0.023	40.686	0.112	0.101	0.025	0.331	1.528	0.461	1.634	1.527	1.841	1.803	-0.017	0.099	0.098
0.023	40.686	0.116	0.096	0.032	0.334	1.599	0.502	1.554	1.579	1.840	1.800	-0.022	0.097	0.103
0.023	40.698	0.125	0.088	0.035	0.333	1.651	0.483	1.535	1.702	1.836	1.797	-0.026	0.097	0.109
0.024	40.695	0.131	0.083	0.035	0.323	1.665	0.438	1.543	1.743	1.845	1.800	-0.029	0.098	0.115
0.024	40.683	0.134	0.076	0.033	0.308	1.604	0.399	1.590	1.749	1.839	1.800	-0.032	0.100	0.122
0.024	40.683	0.136	0.069	0.025	0.287	1.493	0.392	1.580	1.710	1.842	1.806	-0.035	0.099	0.131
0.024	40.686	0.134	0.066	0.015	0.260	1.422	0.399	1.593	1.662	1.844	1.804	-0.035	0.100	0.136
0.024	40.674	0.133	0.066	0.002	0.236	1.385	0.420	1.619	1.648	1.848	1.806	-0.035	0.102	0.143
0.025	40.701	0.133	0.066	-0.013	0.207	1.383	0.426	1.675	1.654	1.837	1.801	-0.035	0.105	0.150
0.025	40.686	0.134	0.070	-0.031	0.182	1.421	0.448	1.723	1.680	1.846	1.804	-0.035	0.107	0.158
0.025	40.680	0.136	0.073	-0.047	0.156	1.431	0.464	1.728	1.720	1.849	1.804	-0.033	0.108	0.161
0.025	40.689	0.139	0.080	-0.065	0.133	1.440	0.508	1.657	1.713	1.854	1.809	-0.033	0.112	0.163
0.025	40.689	0.142	0.084	-0.078	0.112	1.391	0.593	1.591	1.698	1.852	1.809	-0.031	0.116	0.165
0.026	40.680	0.146	0.087	-0.090	0.096	1.343	0.676	1.493	1.636	1.844	1.805	-0.030	0.118	0.167
0.026	40.698	0.148	0.090	-0.099	0.082	1.292	0.735	1.411	1.557	1.854	1.810	-0.030	0.122	0.167
0.026	40.686	0.148	0.092	-0.106	0.075	1.256	0.716	1.419	1.446	1.854	1.812	-0.031	0.124	0.166
0.026	40.680	0.145	0.094	-0.107	0.071	1.198	0.642	1.420	1.350	1.856	1.806	-0.029	0.125	0.163
0.026	40.683	0.146	0.096	-0.106	0.073	1.156	0.516	1.440	1.320	1.850	1.805	-0.029	0.125	0.159
0.027	40.671	0.145	0.097	-0.101	0.079	1.129	0.427	1.423	1.379	1.856	1.804	-0.029	0.123	0.154
0.027	40.680	0.146	0.099	-0.096	0.088	1.090	0.411	1.372	1.477	1.864	1.803	-0.030	0.121	0.146
0.027	40.701	0.146	0.102	-0.090	0.101	1.026	0.471	1.359	1.555	1.869	1.809	-0.032	0.118	0.142
0.027	40.683	0.146	0.105	-0.083	0.114	0.916	0.511	1.342	1.565	1.863	1.809	-0.033	0.119	0.136
0.027	40.668	0.142	0.111	-0.073	0.131	0.837	0.599	1.413	1.545	1.869	1.806	-0.036	0.115	0.125
0.028	40.701	0.137	0.111	-0.064	0.148	0.795	0.613	1.514	1.501	1.856	1.807	-0.038	0.111	0.117
0.028	40.701	0.132	0.112	-0.052	0.165	0.765	0.581	1.529	1.455	1.860	1.806	-0.040	0.108	0.117
0.028	40.710	0.128	0.111	-0.039	0.180	0.741	0.551	1.457	1.475	1.866	1.815	-0.041	0.103	0.113
0.028	40.683	0.125	0.108	-0.023	0.198	0.704	0.541	1.322	1.583	1.856	1.809	-0.047	0.099	0.110
0.028	40.717	0.120	0.106	-0.008	0.210	0.625	0.572	1.161	1.680	1.859	1.820	-0.047	0.096	0.111
0.029	40.698	0.124	0.101	0.007	0.223	0.580	0.595	1.051	1.706	1.856	1.810	-0.051	0.090	0.114
0.029	40.701	0.123	0.096	0.023	0.234	0.501	0.611	1.057	1.610	1.855	1.812	-0.052	0.089	0.117
0.029	40.710	0.128	0.094	0.036	0.241	0.452	0.613	1.153	1.426	1.863	1.818	-0.052	0.083	0.124
0.029	40.732	0.131	0.089	0.046	0.246	0.426	0.585	1.293	1.288	1.864	1.821	-0.053	0.086	0.131
0.029	40.692	0.129	0.085	0.056	0.250	0.393	0.571	1.415	1.189	1.856	1.814	-0.053	0.080	0.141
0.030	40.698	0.123	0.083	0.063	0.255	0.339	0.570	1.393	1.283	1.852	1.814	-0.052	0.080	0.151
0.030	40.735	0.117	0.081	0.065	0.262	0.293	0.602	1.309	1.508	1.863	1.812	-0.051	0.081	0.161
0.030	40.732	0.110	0.081	0.066	0.268	0.199	0.654	1.257	1.722	1.862	1.819	-0.050	0.083	0.172
0.030	40.747	0.103	0.082	0.065	0.278	0.084	0.707	1.295	1.798	1.857	1.816	-0.047	0.085	0.182
0.030	40.750	0.104	0.083	0.059	0.291	-0.029	0.740	1.390	1.713	1.857	1.821	-0.046	0.089	0.193
0.031	40.744	0.109	0.085	0.055	0.306	-0.123	0.750	1.531	1.531	1.861	1.812	-0.045	0.094	0.205
0.031	40.738	0.117	0.087	0.050	0.323	-0.163	0.722	1.659	1.306	1.864	1.813	-0.040	0.097	0.210
0.031	40.759	0.128	0.090	0.044	0.341	-0.130	0.687	1.697	1.231	1.858	1.818	-0.040	0.103	0.216
0.031	40.756	0.137	0.093	0.039	0.358	-0.052	0.650	1.593	1.310	1.859	1.819	-0.039	0.111	0.226
0.031	40.756	0.141	0.098	0.037	0.374	0.019	0.630	1.454	1.459	1.865	1.815	-0.037	0.116	0.230
0.032	40.775	0.141	0.101	0.035	0.393	0.062	0.603	1.340	1.597	1.869	1.818	-0.036	0.124	0.232
0.032	40.762	0.138	0.106	0.035	0.410	0.049	0.575	1.331	1.663	1.866	1.817	-0.036	0.127	0.235
0.032	40.759	0.132	0.112	0.040	0.425	-0.033	0.545	1.414	1.665	1.866	1.820	-0.035	0.133	0.235
0.032	40.747	0.128	0.116	0.047	0.442	-0.142	0.498	1.562	1.601	1.868	1.821	-0.035	0.140	0.236
0.032	40.771	0.126	0.121	0.059	0.453	-0.234	0.498	1.656	1.563	1.872	1.823	-0.035	0.145	0.231
0.033	40.759	0.128	0.125	0.076	0.465	-0.275	0.496	1.623	1.499	1.874	1.816	-0.034	0.149	0.228
0.033	40.771	0.132	0.129	0.094	0.475	-0.287	0.545	1.478	1.527	1.870	1.817	-0.036	0.153	0.224
0.033	40.768	0.140	0.132	0.111	0.481	-0.245	0.585	1.253	1.476	1.873	1.820	-0.039	0.156	0.221
0.033	40.768	0.145	0.135	0.132	0.483	-0.204	0.618	1.159	1.432	1.880	1.824	-0.035	0.159	0.218
0.033	40.765	0.150	0.139	0.148	0.481	-0.154	0.581	1.210	1.343	1.878	1.824	-0.041	0.159	0.216
0.034	40.768	0.152	0.146	0.164	0.473	-0.111	0.545	1.338	1.257	1.871	1.819	-0.041	0.165	0.214
0.034	40.759	0.152	0.151	0.177	0.459	-0.094	0.511	1.487	1.192	1.872	1.827	-0.041	0.161	0.211
0.034	40.768	0.152	0.159	0.183	0.442	-0.050	0.519	1.587	1.188	1.872	1.825	-0.042	0.159	0.212
0.034	40.775	0.151	0.162	0.186	0.418	-0.038	0.548	1.608	1.223	1.869	1.824	-0.043	0.161	0.211
0.034	40.753	0.149	0.167	0.183	0.395	-0.058	0.606	1.541	1.305	1.872	1.819	-0.044	0.158	0.212
0.035	40.759	0.148	0.169	0.170	0.370	-0.100	0.625	1.444	1.370	1.869	1.823	-0.044	0.158	0.218
0.035	40.732	0.152	0.173	0.154	0.340	-0.168	0.590	1.331	1.358	1.874	1.824	-0.041	0.156	0.218
0.035	40.744	0.156	0.174	0.133	0.310	-0.241	0.520	1.245	1.261	1.868	1.827	-0.045	0.155	0.223
0.035	40.735	0.160	0.176	0.105	0.279	-0.259	0.464	1.201	1.113	1.880	1.833	-0.044	0.157	0.226
0.035	40.765	0.167	0.176	0.072	0.248	-0.255	0.458	1.174	0.981	1.870	1.823	-0.042	0.154	0.229
0.036	40.723	0.174	0.177	0.036	0.217	-0.208	0.533	1.101	0.924	1.876	1.826	-0.042	0.153	0.235
0.036	40.704	0.178	0.175	-0.004	0.187	-0.134	0.626	1.046	0.999	1.871	1.829	-0.040	0.153	0.236
0.036	40.710	0.182	0.176	-0.046	0.156	-0.044	0.669	0.950	1.134	1.873	1.831	-0.037	0.155	0.241
0.036	40.720	0.182	0.177	-0.085	0.136	-0.002	0.666	0.945	1.308	1.875	1.825	-0.037	0.157	0.242
0.036	40.704	0.181	0.178	-0.126	0.118	-0.015	0.599	0.989	1.354	1.876	1.827	-0.033	0.157	0.242
0.037	40.726	0.182	0.180	-0.159	0.104	-0.082	0.497	1.056	1.307	1.876	1.832	-0.030	0.159	0.240
0.037	40.726	0.185	0.182	-0.190	0.094	-0.161	0.399	1.169	1.271	1.878	1.834	-0.028	0.165	0.237
0.037	40.710	0.189	0.182	-0.215	0.092	-0.239	0.347	1.240	1.241	1.876	1.825	-0.025	0.165	0.233
0.037	40.701	0.191	0.178	-0.231	0.094	-0.264	0.373	1.237	1.223	1.874	1.827	-0.023	0.170	0.230
0.037	40.729	0.196	0.179	-0.244	0.100	-0.278	0.469	1.066	1.250	1.878	1.828	-0.019	0.172	0.225
0.038	40.704	0.196	0.185	-0.254	0.110	-0.269	0.601	0.890	1.275	1.884	1.833	-0.017	0.174	0.217
0.038	40.683	0.195	0.184	-0.261	0.123	-0.267	0.660	0.752	1.227	1.875	1.832	-0.018	0.178	0.215
0.038	40.714	0.192	0.188	-0.260	0.138	-0.298	0.665	0.775	1.117	1.879	1.832	-0.015	0.178	0.202
0.038	40.704	0.191	0.195	-0.261	0.154	-0.314	0.614	0.820	1.010	1.884	1.833	-0.017	0.178	0.198
0.038	40.695	0.185	0.202	-0.262	0.171	-0.363	0.535	0.978	0.944	1.872	1.828	-0.020	0.179	0.188
0.039	40.704	0.179	0.212	-0.260	0.184	-0.407	0.514	1.172	0.896	1.881	1.832	-0.015	0.178	0.181
0.039	40.707	0.180	0.220	-0.258	0.202	-0.420	0.510	1.246	0.933	1.885	1.827	-0.020	0.177	0.177
0.039	40.689	0.174	0.232	-0.255	0.213	-0.416	0.551	1.245	0.995	1.887	1.830	-0.016	0.173	0.171
0.039	40.683	0.173	0.240	-0.249	0.218	-0.389	0.583	1.225	1.104	1.889	1.833	-0.021	0.165	0.165
0.039	40.686	0.166	0.245	-0.242	0.216	-0.425	0.555	1.164	1.180	1.878	1.833	-0.024	0.168	0.163
0.040	40.677	0.163	0.250	-0.234	0.213	-0.477	0.483	1.083	1.174	1.891	1.834	-0.026	0.161	0.162
0.040	40.671	0.154	0.252	-0.225	0.201	-0.599	0.428	0.970	1.144	1.892	1.841	-0.027	0.157	0.157
0.040	40.680	0.149	0.253	-0.220	0.183	-0.720	0.427	0.829	1.095	1.892	1.835	-0.030	0.153	0.156
0.040	40.674	0.142	0.253	-0.213	0.162	-0.835	0.463	0.761	1.080	1.895	1.836	-0.033	0.146	0.153
0.040	40.680	0.136	0.254	-0.208	0.140	-0.892	0.533	0.744	1.088	1.896	1.833	-0.034	0.142	0.152
0.041	40.689	0.132	0.254	-0.202	0.117	-0.923	0.583	0.734	1.090	1.890	1.836	-0.038	0.141	0.148
0.041	40.683	0.128	0.255	-0.198	0.097	-0.925	0.580	0.753	1.096	1.894	1.835	-0.039	0.136	0.145
0.041	40.659	0.123	0.255	-0.192	0.076	-0.926	0.544	0.809	1.058	1.897	1.842	-0.040	0.133	0.143
0.041	40.704	0.120	0.255	-0.187	0.057	-0.924	0.484	0.929	1.033	1.899	1.840	-0.043	0.131	0.139
0.041	40.677	0.109	0.255	-0.179	0.038	-0.985	0.413	1.058	1.066	1.891	1.832	-0.040	0.134	0.132
0.042	40.671	0.103	0.256	-0.171	0.019	-1.039	0.373	1.141	1.136	1.897	1.837	-0.039	0.131	0.128
0.042	40.683	0.089	0.254	-0.162	0.001	-1.094	0.397	1.123	1.174	1.892	1.840	-0.042	0.132	0.118
0.042	40.649	0.078	0.251	-0.150	-0.017	-1.180	0.451	1.096	1.160	1.902	1.842	-0.043	0.136	0.110
0.042	40.665	0.066	0.247	-0.140	-0.032	-1.243	0.542	1.069	1.114	1.904	1.847	-0.043	0.137	0.104
0.042	40.668	0.056	0.238	-0.127	-0.046	-1.270	0.577	1.034	1.035	1.899	1.840	-0.041	0.141	0.097
0.043	40.640	0.052	0.231	-0.114	-0.056	-1.292	0.609	0.971	0.937	1.908	1.842	-0.040	0.142	0.089
0.043	40.665	0.049	0.223	-0.101	-0.063	-1.299	0.582	0.889	0.844	1.911	1.840	-0.039	0.145	0.080
0.043	40.671	0.049	0.217	-0.086	-0.066	-1.293	0.553	0.804	0.776	1.905	1.840	-0.036	0.147	0.072
0.043	40.656	0.050	0.210	-0.070	-0.066	-1.277	0.521	0.784	0.727	1.897	1.844	-0.036	0.146	0.067
