Comment:	20231003 sppedbump
Time	Vehicle Speed	FL Sprung acceleration	FR Sprung acceleration	RL Sprung acceleration	RR Sprung acceleration	FL Unsprung acceleration	FR Unsprung acceleration	RL Unsprung acceleration	RR Unsprung acceleration	Bellow pressure RL	Bellow pressure RR	Acceleration X	Acceleration Y	Acceleration Z
s	km/h	gn	gn	gn	gn	gn	gn	gn	gn	bar	bar	g	g	g
0.000	40.668	-0.098	0.046	-0.035	-0.208	1.296	0.190	0.022	2.047	1.858	1.794	-0.003	0.038	0.007
0.000	40.656	-0.099	0.049	-0.055	-0.176	1.304	0.147	0.015	1.891	1.857	1.797	-0.007	0.032	0.004
0.000	40.656	-0.100	0.054	-0.079	-0.141	1.295	0.132	0.134	1.693	1.861	1.791	-0.009	0.027	0.002
0.001	40.656	-0.094	0.057	-0.107	-0.105	1.296	0.094	0.323	1.599	1.849	1.798	-0.012	0.021	0.003
0.001	40.662	-0.094	0.059	-0.137	-0.070	1.238	0.101	0.475	1.616	1.846	1.800	-0.013	0.014	0.000
0.001	40.674	-0.092	0.061	-0.171	-0.039	1.198	0.089	0.587	1.809	1.844	1.796	-0.017	0.007	-0.001
0.001	40.649	-0.094	0.061	-0.209	-0.011	1.117	0.106	0.595	2.003	1.847	1.792	-0.018	-0.002	0.002
0.001	40.662	-0.097	0.061	-0.249	0.011	1.057	0.119	0.511	2.144	1.858	1.796	-0.021	-0.011	-0.001
0.002	40.659	-0.103	0.059	-0.288	0.026	1.007	0.111	0.472	2.197	1.854	1.794	-0.025	-0.019	-0.001
0.002	40.659	-0.110	0.059	-0.327	0.033	1.009	0.053	0.508	2.095	1.849	1.795	-0.027	-0.028	0.002
0.002	40.656	-0.114	0.060	-0.367	0.038	1.071	-0.016	0.589	1.950	1.853	1.797	-0.028	-0.040	0.003
0.002	40.659	-0.115	0.061	-0.405	0.042	1.162	-0.096	0.717	1.874	1.846	1.788	-0.033	-0.047	0.004
0.002	40.652	-0.113	0.063	-0.441	0.033	1.224	-0.118	0.769	1.867	1.845	1.791	-0.036	-0.055	0.005
0.003	40.665	-0.108	0.065	-0.477	0.026	1.232	-0.085	0.744	2.010	1.848	1.796	-0.038	-0.065	0.005
0.003	40.662	-0.102	0.067	-0.511	0.017	1.167	0.004	0.608	2.121	1.845	1.792	-0.039	-0.070	0.007
0.003	40.649	-0.094	0.070	-0.540	0.009	1.069	0.054	0.464	2.106	1.848	1.787	-0.042	-0.076	0.010
0.003	40.646	-0.088	0.074	-0.568	-0.002	0.980	0.066	0.383	2.021	1.847	1.795	-0.043	-0.082	0.012
0.003	40.646	-0.085	0.077	-0.589	-0.009	0.899	0.025	0.389	1.890	1.854	1.800	-0.043	-0.085	0.012
0.004	40.652	-0.083	0.085	-0.605	-0.014	0.899	-0.086	0.415	1.792	1.847	1.798	-0.043	-0.090	0.018
0.004	40.628	-0.080	0.092	-0.617	-0.018	0.937	-0.182	0.441	1.769	1.847	1.788	-0.045	-0.092	0.022
0.004	40.665	-0.074	0.095	-0.623	-0.016	1.006	-0.267	0.466	1.817	1.846	1.792	-0.046	-0.093	0.025
0.004	40.671	-0.073	0.101	-0.621	-0.010	1.037	-0.269	0.475	1.928	1.841	1.789	-0.047	-0.092	0.027
0.004	40.646	-0.070	0.106	-0.614	-0.002	1.066	-0.229	0.516	1.988	1.859	1.784	-0.047	-0.089	0.032
0.005	40.622	-0.065	0.112	-0.602	0.012	1.080	-0.192	0.540	1.989	1.842	1.790	-0.046	-0.087	0.035
0.005	40.637	-0.060	0.115	-0.584	0.030	1.081	-0.228	0.586	1.913	1.849	1.791	-0.046	-0.084	0.035
0.005	40.659	-0.059	0.118	-0.562	0.050	1.103	-0.300	0.614	1.822	1.849	1.790	-0.046	-0.079	0.036
